Participant,Add Beef,Add Carrot,Add Onion,Add Potato,Add Salt,Add Tomtato,Add pepper,Pour Broth,Stir Stew,Time Spent S.D
C002,93.38753799999998,54.52380300000004,41.56277499999999,50.83746300000007,8.50964399999998,41.27331400000003,8.527892999999949,36.700148,13.345062999999982,27.09226329683139
C004,73.308487,56.986448999999936,97.204164,43.579650999999956,5.395751999999959,27.304598000000027,15.448149999999998,0.0,13.134308000000033,33.31935446754487
C005,65.66149899999999,34.389405999999894,37.35162300000002,0.0,0.0,41.06085200000007,17.740601000000083,154.26052799999997,24.501709000000005,46.98987817887563
C010,53.932303999999995,0.0,0.0,0.0,0.0,0.0,0.0,25.001441,0.0,18.84636462944034
C011,99.55336600000004,0.0,56.95609900000002,86.78216600000002,0.0,31.109740999999985,0.0,68.857536,0.0,40.778881448589914
C014,0.0,47.95277399999998,22.33223000000001,21.77697100000006,6.284393999999963,31.794082000000017,23.19029199999997,35.02430700000001,24.52990699999998,14.37638130146138
C015,108.797832,75.765961,48.51312300000001,77.41232200000002,4.241577000000007,33.80915699999997,8.080657999999971,45.941295,27.79486099999997,34.377667737171336
C018,60.255346999999986,33.387084999999985,30.066162000000006,32.940323999999976,4.064178000000027,40.15510499999999,7.792815999999959,26.915764000000003,12.276520000000005,17.584073696306923
C019,44.65744000000001,40.37451100000004,95.94595300000003,26.989379999999983,6.461853000000019,20.296845000000076,29.068512,77.65277900000001,13.830994000000032,29.693535475676484
C022,8.311630999999991,0.0,22.59974699999998,0.0,0.0,0.0,0.0,0.0,0.0,7.694670485362867
C023,160.30528199999995,106.0611560000001,58.972901000000036,30.33395399999995,3.9338989999999967,31.705381999999986,10.34368900000004,79.08209199999999,12.508727999999905,52.26175440293908
C026,58.521202999999986,36.958892999999875,74.141401,45.0426020000001,9.43041999999997,28.664976999999993,15.192688000000032,40.99601,33.139861999999994,20.106391949257635
C027,51.04782900000001,54.75567099999997,33.636353000000014,27.904112000000055,17.95398,26.197007999999954,4.28292799999997,15.814603000000002,30.032868000000008,16.1548797613944
C030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.33879199999996,85.77959733333331
C031,164.88738899999998,52.984252999999626,79.882474,44.29165599999993,43.124206999999956,29.08785899999998,6.8739009999999325,167.615242,16.665955000000054,59.936254586973625
